URL,Size (Bytes),Outgoing Links,Content Type
https://www.usatoday.com/,208242,223,text/html
https://www.usatoday.com/story/sports/mlb/playoffs/2023/10/07/2023-mlb-playoffs-division-series-live-updates-scores-bracket-schedule/71085364007/,280823,165,text/html
https://www.usatoday.com/story/news/investigations/2023/10/06/restraining-order-michigan-state-mel-tucker-brenda-tracy-texts/71080986007/,192431,142,text/html
https://www.usatoday.com/money/blueprint/,791781,407,text/html
https://www.usatoday.com/contact/staff/,364906,940,text/html
https://www.usatoday.com/story/entertainment/movies/2023/10/07/exorcist-believer-movie-spoilers/71073683007/,198548,141,text/html
https://www.usatoday.com/story/news/nation/2023/10/07/albuquerque-balloon-fiesta-photos/71102223007/,154259,134,text/html
https://www.usatoday.com/news/investigations/,160883,172,text/html
https://www.usatoday.com/story/life/health-wellness/2023/05/14/what-is-a-balanced-diet-and-why-the-answer-is-important/70188995007/,176788,153,text/html
https://www.usatoday.com/story/entertainment/movies/2023/10/06/rl-stine-zombie-town-hulu/71089679007/,179601,153,text/html
https://www.usatoday.com/story/news/nation/2023/10/07/morgan-state-shooting-prompts-university-to-historically-cancel-homecoming/71090550007/,178997,141,text/html
https://www.usatoday.com/travel/,170323,164,text/html
https://www.usatoday.com/story/news/nation/2023/10/07/how-human-history-is-being-rewritten-by-footprints-in-new-mexico/71043675007/,194279,140,text/html
https://www.usatoday.com/money/blueprint/credit-cards/what-is-a-secured-credit-card/,636202,347,text/html
https://www.usatoday.com/news/from-the-archives/,144575,146,text/html
https://www.usatoday.com/story/travel/experience/national-parks/2023/10/07/great-basin-national-park-travel-tips/70910792007/,183751,152,text/html
https://www.usatoday.com/just-curious/,136257,142,text/html
https://www.usatoday.com/story/news/nation/2023/09/23/treatment-for-parvo-in-dogs-nears-usda-approval/70922537007/,188770,139,text/html
https://www.usatoday.com/story/life/food-dining/2023/10/07/can-you-freeze-cream-cheese/70855715007/,169274,139,text/html
https://www.usatoday.com/elections/,131499,148,text/html
https://www.usatoday.com/story/money/2023/09/27/best-usb-c-charging-cable-iphone-15/70980082007/,176928,141,text/html
https://www.usatoday.com/story/news/world/2023/10/07/iran-movies-human-rights-crackdown-woman-life-liberty/70967889007/,214271,153,text/html
https://www.usatoday.com/media/latest/videos/news/,133269,146,text/html
https://www.usatoday.com/story/travel/columnist/2023/10/06/travel-safety-tips/71074452007/,184281,159,text/html
https://www.usatoday.com/money/blueprint/travel-insurance/us-flight-cancellations-10-06-23/,614290,332,text/html
https://www.usatoday.com/money/,172210,163,text/html
https://www.usatoday.com/story/news/world/2023/10/07/israel-netanyahu-says-at-war-as-hamas-palestinian-militants-launch-surprise-attack/71098144007/,213825,152,text/html
https://www.usatoday.com/story/news/politics/2023/10/06/ramaswamy-republican-presidential-primary-debate-miami/71088477007/,166646,137,text/html
https://www.usatoday.com/story/sports/ncaaf/2023/10/07/texas-oklahoma-score-highlights-live-updates/71045876007/,236927,185,text/html
https://www.usatoday.com/money/blueprint/pet-insurance/best-pet-insurance/,1048576,347,text/html
https://www.usatoday.com/story/opinion/columnist/2023/10/06/speaker-trump-republican-replace-mccarthy-jim-jordan-steve-scalise/71086563007/,188923,153,text/html
https://www.usatoday.com/money/blueprint/credit-cards/best-credit-cards/,1048576,281,text/html
https://www.usatoday.com/story/news/investigations/2023/08/31/clown-fetish-professor-kent-northern-illinois-nicholls-state/70603544007/,215108,131,text/html
https://www.usatoday.com/story/money/2023/10/06/amazon-prime-day-2023-october-10-deals/71076778007/,171515,143,text/html
https://www.usatoday.com/story/travel/hotels/2023/10/06/paris-hotel-prices-olympics-2024/71070957007/,174190,141,text/html
https://www.usatoday.com/news/politics/,146797,155,text/html
